"soc6","soc_code","title","auto_w","pv_w","da_w","tk_w","ag_w","n_tasks","n_core","occupation_category","eloundou_alpha","eloundou_beta","eloundou_gamma","webb_software","webb_robot","webb_ai","sml","felten","frey_osborne","routine_cognitive","routine_manual"
"131199","13-1199.06","Online Merchants",1.28807471264368,0.897882386953762,1.56075449018454,1.01826405454867,1.33037428257725,34,24,"Management, Business & Financial",0.246666666666667,0.593333333333333,0.94,24,19,54,2.90971925672699,3.6139357,0.23,-0.317640517,-0.926392676666667
"151231","15-1231.00","Computer Network Support Specialists",1.28525641025641,0.787633114195487,1.52440169358563,0.860802084413082,1.30063772129734,26,26,"Computer, Engineering & Science",0.461538461538462,0.634615384615385,0.807692307692308,NA,NA,NA,NA,NA,NA,NA,NA
"131081","13-1081.02","Logistics Analysts",1.2688679245283,0.954734695736257,1.5063763765807,0.884968530182624,1.38074663526369,31,22,"Management, Business & Financial",0.0844155844155844,0.529220779220779,0.974025974025974,50,19,83,2.88772409569162,3.8946345,0.012,-0.239738054,-0.836980266666667
"271024","27-1024.00","Graphic Designers",1.24479166666667,1.32327770621721,1.46163816609412,0.660924390129633,1.08360957531482,19,17,"Arts, Design, Entertainment & Media",0,0.5,1,59,47,77,2.86418148654811,3.3344059,0.082,0.35124463,-0.3035116
"131161","13-1161.00","Market Research Analysts and Marketing Specialists",1.23397435897436,1.34010516961892,1.42151873037285,0.631038763503885,1.15823798184898,13,13,"Management, Business & Financial",0.0689655172413793,0.53448275862069,1,49,26,87,2.93913424124514,3.7748506,0.61,-0.35793445,-0.94367397
"292052","29-2052.00","Pharmacy Technicians",1.22794117647059,0.171742073074745,1.51316237827667,1.34400953672288,1.23774257118817,21,13,"Healthcare Practitioners & Technical",0.294117647058824,0.426470588235294,0.558823529411765,39,52,42,3.18045894068408,3.3352666,0.92,1.4794836,0.61164993
"152051","15-2051.01","Business Intelligence Analysts",1.22549019607843,1.17772748264976,1.49537454147329,0.664001992453682,1.19313220119986,17,17,"Computer, Engineering & Science",0.359550561797753,0.679775280898876,1,NA,NA,NA,NA,NA,NA,NA,NA
"151299","15-1299.01","Web Administrators",1.22101449275362,1.1079486918178,1.50334446785224,0.69404308327151,1.29331720047534,35,34,"Computer, Engineering & Science",0.460869565217391,0.728985507246377,0.997101449275362,NA,NA,NA,NA,NA,NA,NA,NA
"194012","19-4012.01","Precision Agriculture Technicians",1.21212121212121,1.06417246829164,1.45329835535794,0.690038827033643,1.19085079428343,22,22,"Life, Physical & Social Science",0.1375,0.41875,0.7,NA,NA,NA,NA,NA,NA,NA,NA
"151253","15-1253.00","Software Quality Assurance Analysts and Testers",1.20614035087719,1.1140935456084,1.48564850692339,0.723366297924517,1.24001197138366,30,27,"Computer, Engineering & Science",0.807017543859649,0.87719298245614,0.947368421052632,NA,NA,NA,NA,NA,NA,NA,NA
"151232","15-1232.00","Computer User Support Specialists",1.20114942528736,0.8934276233365,1.43505450874934,0.888829922187075,1.07750071935886,16,13,"Computer, Engineering & Science",0.444444444444444,0.611111111111111,0.777777777777778,NA,NA,NA,NA,NA,NA,NA,NA
"151244","15-1244.00","Network and Computer Systems Administrators",1.19369369369369,0.944333545525253,1.47094246298909,0.815086607133237,1.16283435488098,20,17,"Computer, Engineering & Science",0.540540540540541,0.72972972972973,0.918918918918919,NA,NA,NA,NA,NA,NA,NA,NA
"151254","15-1254.00","Web Developers",1.19150641025641,1.08481753416638,1.47202168530287,0.756749074830219,1.2213545938628,29,23,"Computer, Engineering & Science",0.865384615384615,0.932692307692308,1,NA,NA,NA,NA,NA,NA,NA,NA
"151243","15-1243.01","Data Warehousing Specialists",1.18981481481481,1.2352468907348,1.50317187577982,0.570299118939012,1.29867043019029,18,18,"Computer, Engineering & Science",0.818181818181818,0.909090909090909,1,NA,NA,NA,NA,NA,NA,NA,NA
"151299","15-1299.03","Document Management Specialists",1.18703703703704,0.970603965407071,1.4251281840401,0.811610620109754,1.22227158666191,23,22,"Computer, Engineering & Science",0.460869565217391,0.728985507246377,0.997101449275362,NA,NA,NA,NA,NA,NA,NA,NA
"132082","13-2082.00","Tax Preparers",1.17708333333333,0.91844726708716,1.36884613803007,0.849202258114172,1.19771365148955,12,12,"Management, Business & Financial",0.25,0.625,1,37,16,81,3.15926762491444,2.8051827,0.99,1.4230719,-0.5379372
"132053","13-2053.00","Insurance Underwriters",1.17261904761905,1.08945052233727,1.4425152534775,0.61070814907602,1.30407812600262,7,7,"Management, Business & Financial",0.142857142857143,0.571428571428571,1,21,7,84,3.0616480595428,3.0149076,0.99,0.66554016,-0.61457646
"273042","27-3042.00","Technical Writers",1.17222222222222,1.15904270973701,1.3872193584577,0.752535591447506,1.08467803948115,15,15,"Arts, Design, Entertainment & Media",0.466666666666667,0.7,0.933333333333333,38,18,80,2.88221449911591,3.0080364,0.89,1.8340727,-0.22687241
"319094","31-9094.00","Medical Transcriptionists",1.16666666666667,0.881160390074599,1.38061049157274,0.857480376492902,1.23490099672718,15,13,"Healthcare Support",0.821428571428571,0.875,0.928571428571429,30,57,26,3.1638403590319,2.7237425,0.89,1.7212493,0.53501076
"119179","11-9179.02","Spa Managers",1.16468253968254,1.02153844346294,1.29455431647881,0.719100509518716,0.920801774232564,21,21,"Management, Business & Financial",0.159090909090909,0.448863636363636,0.738636363636364,NA,NA,NA,NA,NA,NA,NA,NA
"152051","15-2051.02","Clinical Data Managers",1.15729166666667,1.03526279441629,1.40350852961086,0.675262794416288,1.19782262505773,21,19,"Computer, Engineering & Science",0.359550561797753,0.679775280898876,1,NA,NA,NA,NA,NA,NA,NA,NA
