,Abstract Strategy Games,Real-Time Video Games,Image Recognition,Visual Question Answering,Generating Images,Reading Comprehension,Language Modeling,Translation,Speech Recognition,Instrumental Track Recognition
Arm-Hand Steadiness,0.48,0.68,0.44,0.49,0.34,0.2,0.19,0.19,0.23,0.22
Auditory Attention,0.64,0.79,0.46,0.54,0.33,0.42,0.82,0.74,0.91,0.94
Category Flexibility,0.9,0.86,0.77,0.81,0.75,0.82,0.76,0.69,0.63,0.68
Control Precision,0.72,0.92,0.67,0.79,0.58,0.39,0.34,0.31,0.41,0.37
Deductive Reasoning,0.88,0.86,0.65,0.74,0.63,0.87,0.8,0.75,0.6,0.49
Depth Perception,0.69,0.8,0.86,0.84,0.82,0.34,0.28,0.27,0.32,0.34
Dynamic Flexibility,0.37,0.49,0.37,0.39,0.32,0.2,0.18,0.17,0.21,0.18
Dynamic Strength,0.3,0.4,0.31,0.38,0.27,0.19,0.21,0.18,0.23,0.2
Explosive Strength,0.32,0.4,0.35,0.4,0.24,0.21,0.17,0.18,0.18,0.18
Extent Flexibility,0.34,0.45,0.37,0.36,0.28,0.18,0.17,0.19,0.18,0.19
Far Vision,0.48,0.69,0.89,0.85,0.73,0.33,0.25,0.29,0.3,0.28
Finger Dexterity,0.58,0.74,0.48,0.52,0.41,0.24,0.21,0.19,0.22,0.24
Flexibility of Closure,0.9,0.9,0.82,0.86,0.78,0.75,0.69,0.67,0.7,0.75
Fluency of Ideas,0.76,0.65,0.48,0.64,0.58,0.77,0.72,0.6,0.55,0.38
Glare Sensitivity,0.47,0.71,0.85,0.81,0.74,0.34,0.21,0.28,0.26,0.26
Gross Body Coordination,0.37,0.5,0.42,0.44,0.35,0.19,0.17,0.21,0.18,0.23
Gross Body Equilibrium,0.35,0.45,0.44,0.43,0.3,0.17,0.18,0.22,0.19,0.22
Hearing Sensitivity,0.54,0.82,0.42,0.55,0.33,0.39,0.74,0.66,0.86,0.88
Inductive Reasoning,0.88,0.74,0.69,0.69,0.65,0.84,0.79,0.71,0.65,0.49
Information Ordering,0.97,0.92,0.87,0.93,0.88,0.92,0.85,0.89,0.81,0.73
Manual Dexterity,0.56,0.7,0.44,0.5,0.4,0.21,0.2,0.19,0.19,0.21
Mathematical Reasoning,0.89,0.8,0.62,0.81,0.59,0.69,0.46,0.47,0.51,0.45
Memorization,0.92,0.88,0.83,0.88,0.77,0.93,0.86,0.85,0.81,0.65
Multilimb Coordination,0.47,0.64,0.46,0.49,0.33,0.2,0.16,0.2,0.24,0.22
Near Vision,0.7,0.86,0.91,0.91,0.76,0.41,0.27,0.32,0.27,0.28
Night Vision,0.46,0.7,0.86,0.84,0.67,0.29,0.23,0.24,0.23,0.27
Number Facility,0.89,0.82,0.67,0.83,0.5,0.64,0.5,0.49,0.54,0.39
Oral Comprehension,0.65,0.7,0.37,0.56,0.41,0.69,0.91,0.89,0.89,0.6
Oral Expression,0.62,0.64,0.44,0.55,0.37,0.68,0.91,0.86,0.83,0.46
Originality,0.7,0.57,0.39,0.39,0.68,0.61,0.59,0.48,0.43,0.34
Perceptual Speed,0.87,0.9,0.85,0.87,0.76,0.76,0.68,0.67,0.65,0.6
Peripheral Vision,0.54,0.77,0.77,0.75,0.72,0.31,0.24,0.26,0.24,0.26
Problem Sensitivity,0.88,0.81,0.62,0.72,0.55,0.69,0.59,0.52,0.56,0.44
Rate Control,0.72,0.89,0.63,0.69,0.53,0.29,0.31,0.31,0.34,0.49
Reaction Time,0.71,0.87,0.7,0.69,0.56,0.36,0.37,0.36,0.52,0.49
Response Orientation,0.78,0.9,0.71,0.7,0.66,0.43,0.49,0.44,0.51,0.59
Selective Attention,0.88,0.86,0.75,0.81,0.66,0.82,0.61,0.66,0.69,0.72
Sound Localization,0.58,0.79,0.47,0.58,0.34,0.35,0.64,0.54,0.79,0.89
Spatial Orientation,0.83,0.88,0.89,0.89,0.79,0.36,0.35,0.31,0.41,0.37
Speech Clarity,0.59,0.64,0.45,0.55,0.35,0.61,0.93,0.85,0.87,0.59
Speech Recognition,0.66,0.83,0.47,0.61,0.38,0.64,0.95,0.88,0.98,0.75
Speed of Closure,0.9,0.88,0.83,0.82,0.76,0.79,0.68,0.75,0.74,0.7
Speed of Limb Movement,0.39,0.6,0.39,0.48,0.32,0.2,0.17,0.19,0.21,0.21
Stamina,0.35,0.43,0.32,0.38,0.27,0.2,0.2,0.21,0.2,0.23
Static Strength,0.31,0.35,0.37,0.41,0.24,0.21,0.2,0.18,0.21,0.21
Time Sharing,0.77,0.84,0.57,0.7,0.54,0.6,0.65,0.62,0.66,0.64
Trunk Strength,0.28,0.31,0.3,0.37,0.22,0.21,0.17,0.19,0.2,0.18
Visual Color Determination,0.8,0.94,0.93,0.94,0.9,0.44,0.29,0.34,0.28,0.29
Visualization,0.88,0.8,0.85,0.81,0.93,0.56,0.35,0.39,0.34,0.31
Wrist-Finger Speed,0.52,0.74,0.45,0.46,0.36,0.21,0.2,0.22,0.21,0.22
Written Comprehension,0.56,0.59,0.57,0.67,0.47,0.91,0.83,0.88,0.59,0.35
Written Expression,0.56,0.55,0.48,0.62,0.47,0.83,0.85,0.85,0.7,0.32
