soc_code,title,n_software
11-1011.00,Chief Executives,49
11-1011.03,Chief Sustainability Officers,21
11-1021.00,General and Operations Managers,146
11-1031.00,Legislators,32
11-2011.00,Advertising and Promotions Managers,73
11-2021.00,Marketing Managers,153
11-2022.00,Sales Managers,103
11-2032.00,Public Relations Managers,66
11-2033.00,Fundraising Managers,61
11-3012.00,Administrative Services Managers,56
11-3013.00,Facilities Managers,50
11-3013.01,Security Managers,33
11-3021.00,Computer and Information Systems Managers,177
11-3031.00,Financial Managers,67
11-3031.01,Treasurers and Controllers,51
11-3031.03,Investment Fund Managers,24
11-3051.00,Industrial Production Managers,59
11-3051.01,Quality Control Systems Managers,51
11-3051.02,Geothermal Production Managers,8
11-3051.03,Biofuels Production Managers,13
11-3051.04,Biomass Power Plant Managers,10
11-3051.06,Hydroelectric Production Managers,20
11-3061.00,Purchasing Managers,37
11-3071.00,"Transportation, Storage, and Distribution Managers",108
11-3071.04,Supply Chain Managers,59
11-3111.00,Compensation and Benefits Managers,86
11-3121.00,Human Resources Managers,102
11-3131.00,Training and Development Managers,96
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",77
11-9021.00,Construction Managers,64
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",34
11-9032.00,"Education Administrators, Kindergarten through Secondary",57
11-9033.00,"Education Administrators, Postsecondary",59
11-9041.00,Architectural and Engineering Managers,131
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,32
11-9051.00,Food Service Managers,39
11-9071.00,Gambling Managers,8
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",64
11-9081.00,Lodging Managers,29
11-9111.00,Medical and Health Services Managers,127
11-9121.00,Natural Sciences Managers,29
11-9121.01,Clinical Research Coordinators,45
11-9121.02,Water Resource Specialists,36
11-9131.00,Postmasters and Mail Superintendents,20
11-9141.00,"Property, Real Estate, and Community Association Managers",62
11-9151.00,Social and Community Service Managers,22
11-9161.00,Emergency Management Directors,24
11-9171.00,Funeral Home Managers,17
11-9179.01,Fitness and Wellness Coordinators,16
11-9179.02,Spa Managers,36
11-9199.01,Regulatory Affairs Managers,69
11-9199.02,Compliance Managers,78
11-9199.08,Loss Prevention Managers,24
11-9199.09,Wind Energy Operations Managers,24
11-9199.10,Wind Energy Development Managers,13
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,31
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",25
13-1021.00,"Buyers and Purchasing Agents, Farm Products",23
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",56
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",58
13-1031.00,"Claims Adjusters, Examiners, and Investigators",73
13-1032.00,"Insurance Appraisers, Auto Damage",21
13-1041.00,Compliance Officers,17
13-1041.01,Environmental Compliance Inspectors,29
13-1041.03,Equal Opportunity Representatives and Officers,28
13-1041.04,Government Property Inspectors and Investigators,35
13-1041.06,Coroners,31
13-1041.07,Regulatory Affairs Specialists,34
13-1041.08,Customs Brokers,18
13-1051.00,Cost Estimators,65
13-1071.00,Human Resources Specialists,172
13-1074.00,Farm Labor Contractors,13
13-1075.00,Labor Relations Specialists,22
13-1081.00,Logisticians,29
13-1081.01,Logistics Engineers,50
13-1081.02,Logistics Analysts,53
13-1082.00,Project Management Specialists,91
13-1111.00,Management Analysts,216
13-1121.00,"Meeting, Convention, and Event Planners",47
13-1131.00,Fundraisers,27
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",96
13-1151.00,Training and Development Specialists,117
13-1161.00,Market Research Analysts and Marketing Specialists,150
13-1161.01,Search Marketing Strategists,66
13-1199.04,Business Continuity Planners,38
13-1199.05,Sustainability Specialists,39
13-1199.06,Online Merchants,76
13-1199.07,Security Management Specialists,54
13-2011.00,Accountants and Auditors,239
13-2022.00,Appraisers of Personal and Business Property,20
13-2023.00,Appraisers and Assessors of Real Estate,68
13-2031.00,Budget Analysts,61
13-2041.00,Credit Analysts,41
13-2051.00,Financial and Investment Analysts,181
13-2052.00,Personal Financial Advisors,102
13-2053.00,Insurance Underwriters,29
13-2054.00,Financial Risk Specialists,189
13-2061.00,Financial Examiners,30
13-2071.00,Credit Counselors,23
13-2072.00,Loan Officers,88
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",22
13-2082.00,Tax Preparers,42
13-2099.01,Financial Quantitative Analysts,36
13-2099.04,"Fraud Examiners, Investigators and Analysts",28
15-1211.00,Computer Systems Analysts,313
15-1211.01,Health Informatics Specialists,63
15-1212.00,Information Security Analysts,247
15-1221.00,Computer and Information Research Scientists,163
15-1231.00,Computer Network Support Specialists,145
15-1232.00,Computer User Support Specialists,264
